jobTypeId,title,startLocation,endLocation,dispatchType,rateOfJob,createdAt,updatedAt,companyId
ccdc6e7d-49b0-4d84-a3ea-ab7d36c5d965,214 Carson Co. - Brantford - Tonnage - 5.30,Lafarge Pit,"1228 Colborne Street, Brantford",Tonnage,5.3,2025-02-24 04:33:43.151 +00:00,2025-02-24 04:33:43.151 +00:00,9a90fa68-d1ad-434b-843b-e6762b182499
3cc007f2-9466-4194-9a69-f5995904caec,Blythedale - Pit 5 To Ingersol - 105,Pit 5,Ingersol,Hourly,105.0,2025-03-01 18:25:37.621 +00:00,2025-03-04 02:13:00.252 +00:00,983e3aee-ddfb-402e-9b5a-6ca9e0b88b8f
1c60d4aa-2503-40b8-8d93-7cbfbfd27568,VP Top Soil - Wonderland To Rebecca Road (Snow) - Hourly - 100,Wonderland,Rebecca Road,Hourly,100.0,2025-03-01 18:37:55.960 +00:00,2025-03-04 02:13:06.065 +00:00,09f258c4-aa5c-4324-bc90-fca3c0d61b5c
6fd11450-8592-48f1-b058-1b19918db359,VanBree - Wonderland to Pit 6 - Hourly - 102,Wonderland Road,Blythedale Pit 6,Hourly,102.0,2025-03-01 19:16:57.843 +00:00,2025-03-02 02:46:18.820 +00:00,6781156e-20ee-4a26-b878-0a60e43dc950
01a2986b-f9a3-4d45-b9cd-7bb5a3d40a70,Clintar - Remarks Plaza to Insell (Snow) - Hourly - 102,Remark Plaze,Insell,Hourly,102.0,2025-03-01 19:43:18.879 +00:00,2025-03-01 20:05:35.371 +00:00,89d31846-e100-491f-b943-c48aacb6c9c6
fdd6cf0c-5ac9-4df1-963b-7969aa5d444b,Elgin Construction - Pit 5 to Tilsonburg - Tonnage - 7.95,Pit 5,Tilsonburg,Tonnage,7.95,2025-03-01 19:55:53.252 +00:00,2025-03-02 02:45:06.076 +00:00,86fccc4a-db8e-455d-8bc2-a61a338c7d99
679fa8c3-2020-4e08-87b4-1284aaf2d9dd,Sturdy's - Woodstuck to Muck Farm -  Hourly - 105,667 Jack Ross Woodstock,Muck Site Farm,Hourly,105.0,2025-03-01 19:57:02.900 +00:00,2025-03-02 02:47:06.272 +00:00,430c3ba2-9dae-499e-9990-cd06c1ad90d4
9c99f05a-76ff-431e-9496-5e9c0893afbc,Blythedale - Country Yard to Muck Site - Hourly - 105,Country Yard,Muck Site,Hourly,105.0,2025-03-01 19:57:47.286 +00:00,2025-03-02 02:38:09.851 +00:00,983e3aee-ddfb-402e-9b5a-6ca9e0b88b8f
cfec20b9-8e0f-4103-9037-83d101f2b5ed,VanBree - Mud Creek to Heritage Pit - Hourly - 105,Mud Creek Proudfoot & Oxford Street,Heritage Pit 06,Hourly,105.0,2025-03-01 19:58:42.817 +00:00,2025-03-01 19:58:42.817 +00:00,6781156e-20ee-4a26-b878-0a60e43dc950
a423eca3-0b12-4b2f-9896-5912df4dae6d,R. Russel Construction - Ashland to Baigent Pit - Hourly - 103,Ashland Avenue,Baigent Pit,Hourly,103.0,2025-03-01 19:59:40.246 +00:00,2025-03-02 03:07:19.967 +00:00,b565a573-8c24-4d8c-9b8e-771de54413ac
1aec0b25-022a-4757-a874-09bb4d7ed045,VanBree - Hunt Pit to London Glove Factory - Hourly - 105,Hunt Pit,London Glove Pit,Hourly,105.0,2025-03-01 20:00:28.276 +00:00,2025-03-01 20:00:28.276 +00:00,6781156e-20ee-4a26-b878-0a60e43dc950
0b324997-154c-4bb9-9054-9af5762a7a64,ASG Excavating - Heritage to Linkway - Hourly - unknown,Heritage Pit,Linkway Blvd,Tonnage,0.0,2025-03-01 20:01:05.846 +00:00,2025-03-02 02:48:40.735 +00:00,dc6b8dbd-ea32-4a8a-a034-0faefcb5b66d
8ce2ddcd-d21e-4f99-8ada-6906bf4e33bc,VanBree - Ponds Mill to Baigent Pit - Hourly - 105,Ponds Mill,Baigent Pit,Hourly,105.0,2025-03-01 20:01:54.715 +00:00,2025-03-01 20:01:54.715 +00:00,6781156e-20ee-4a26-b878-0a60e43dc950
985f9325-b608-4cad-aa6a-ac26789cd602,ASG Excavating - Pit 6 to Talbot - Tonnage - 6.7,Pit 6,Col Talbot PO#25-005,Tonnage,6.7,2025-03-01 20:02:58.068 +00:00,2025-03-04 02:13:31.205 +00:00,dc6b8dbd-ea32-4a8a-a034-0faefcb5b66d
b7912ad5-6ed4-45d3-80d9-f6314298264e,Lifted - Bonaventure to Blue Con Yard - Hourly - unknown,Bonaventure ,Blue Con Yard,Hourly,95.0,2025-03-01 20:06:26.685 +00:00,2025-03-02 02:36:30.786 +00:00,3c14a0e0-7b55-4c6c-845b-909ac1a7a28f
0b34b586-82a3-4bc2-98f0-a2a8aaca2fab,VP Top Soil - Byron to Wharrancliff - Hourly - 100,Byron,Wharrancliff,Hourly,100.0,2025-03-01 20:07:24.248 +00:00,2025-03-04 02:13:10.129 +00:00,09f258c4-aa5c-4324-bc90-fca3c0d61b5c
f5cd9903-8cd3-45da-8eb2-715d56459e0d,Edward & Sons - Glendon Drive to Wharrancliff - Hourly - 102,Glendon Drive,Wharrancliff ,Hourly,102.0,2025-03-01 20:08:41.508 +00:00,2025-03-04 02:13:44.915 +00:00,d537a850-b319-4127-9adc-c7f3dba84025
7227fcf5-6f48-4197-b442-40983d6567d7,214 Carson Co. - Pataullo to Woodstock - Load - 90,Pataullo ,Woodstock ,Load,90.0,2025-03-01 20:10:20.898 +00:00,2025-03-02 02:55:50.664 +00:00,9a90fa68-d1ad-434b-843b-e6762b182499
dadfe938-9a47-4edf-999d-ce2e03a056fe,VP Top Soil - Multiple Locations - Hourly - 100,Thistle Wood,Rebecca Yard,Hourly,100.0,2025-03-01 20:11:08.360 +00:00,2025-03-04 02:13:13.437 +00:00,09f258c4-aa5c-4324-bc90-fca3c0d61b5c
2b10896d-514c-4b99-99cf-05a9dc0a11e3,Curbside Construction - Baseline Road  to Hunt Pit - Hourly - 105,633 Baseline Road,Hunt Pit,Hourly,105.0,2025-03-01 21:32:55.988 +00:00,2025-03-02 03:07:28.647 +00:00,6781156e-20ee-4a26-b878-0a60e43dc950
11388c39-b908-4302-8058-8e0ec82cef0a,VanBree - Ponds Mill to Byron Pit - Hourly - 105,Ponds Mill,Byron Pit,Hourly,105.0,2025-03-01 21:50:26.010 +00:00,2025-03-01 21:50:26.010 +00:00,6781156e-20ee-4a26-b878-0a60e43dc950
2c62dd6f-bc2e-4664-b0eb-24dbe23e842e,ASG Excavating - Asher Cres - Tonnage - 4,Thames Aggregate Pit,Asher Crescent,Tonnage,4.0,2025-03-04 02:11:53.078 +00:00,2025-03-04 02:13:37.835 +00:00,dc6b8dbd-ea32-4a8a-a034-0faefcb5b66d
03ba071f-5071-4aa1-9bfa-59f09a4f3443,ASG Excavating - Heritage to Linkway - Tonnage - 7.95,Heritage Pit,Linkway Blvd,Tonnage,7.95,2025-04-01 01:18:44.272 +00:00,2025-04-01 01:18:44.272 +00:00,dc6b8dbd-ea32-4a8a-a034-0faefcb5b66d
5b4364a0-10e1-4f26-adec-c083028be002,Armstrong - WoodStock - Hourly - 105,Kitchener,Wingham,Hourly,105.0,2025-04-01 01:35:56.864 +00:00,2025-04-01 01:36:26.466 +00:00,163324e6-99b3-4438-af2c-6b882a235870
118621f7-9a41-463b-b262-770890330f07,Stubbe's - Pattaulo - Load - 220,Pataullo ,Heritage Pit,Load,220.0,2025-04-01 01:37:40.405 +00:00,2025-04-01 01:37:40.405 +00:00,67fc5e77-adbc-4f47-a6c5-e2154389783f
9c119b16-d309-4f38-ae53-e1087d217994,Elgin Construction - Pit 6 to Wright Strathroy - Tonnage - 8.75,Pit 6,Wright Strathroy,Tonnage,8.75,2025-04-01 01:43:17.628 +00:00,2025-04-01 01:43:17.628 +00:00,86fccc4a-db8e-455d-8bc2-a61a338c7d99
2dce2dd8-dea7-45db-8eff-5ddd9f07a2e5,Lifted - Grand River to JAAR - Hourly - 100,Grand River,JAAR Plant,Hourly,100.0,2025-04-06 19:22:13.508 +00:00,2025-04-06 19:22:13.508 +00:00,3c14a0e0-7b55-4c6c-845b-909ac1a7a28f
3ba820f4-d4bc-464d-8b86-e38002b8e973,GHN - Forest Avenue  to GHN Yard - Hourly - 105,Forest Avenue,GHN Yard,Hourly,105.0,2025-04-06 19:22:50.594 +00:00,2025-04-06 19:23:11.371 +00:00,d3fade0c-7f73-4982-8b05-2fbd8e16aa6b
